i3-gaps-git 4.14-1
i3lock-color-git r445.e46b057-1
i3lock-fancy-git r136.b81db64-1
i3status 2.11-3
iana-etc 20170824-1
icu 60.2-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 7.0.7.19-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inputproto 2.3.2-1
intltool 0.51.0-3
iproute2 4.14.1-2
iptables 1.6.1-2
iputils 20161105.1f2bb12-2
ipython 6.2.1-2
irssi 1.0.5-1
iso-codes 3.76-1
iw 4.9-2
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk8-openjdk 8.u144-1
jdk9-openjdk 9.u181-4
jfsutils 1.1.15-4
jre8-openjdk 8.u144-1
jre8-openjdk-headless 8.u144-1
jre9-openjdk 9.u181-4
jre9-openjdk-headless 9.u181-4
js 24.2.0-4
js52 52.5.2-1
json-c 0.12.1-1
json-glib 1.4.2-1
jsoncpp 1.8.3-2
jupyter 4.1.0-6
jupyter-nbformat 4.4.0-1
jupyter-notebook 5.0.0-1
jupyter-widgetsnbextension 1:2.0.0-1
jupyter_console 5.2.0-1
kbd 2.0.4-1
kbproto 1.0.7-1
keybase-bin 1.0.39_20180103170425+352aaf98a-1
keychain 2.8.4-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.16-1
ladspa 1.13-6
lame 3.100-1
lastpass-pocket 4.1.20-1
lcms 1.19-5
lcms2 2.9-1
ldb 1.3.0-1
ldns 1.7.0-4
less 487-1
lib32-bzip2 1.0.6-2
lib32-expat 2.2.2-1
lib32-gcc-libs 7.2.1-2
lib32-glibc 2.26-8
lib32-icu 60.1-1
lib32-json-c 0.12.1-1
lib32-libdrm 2.4.89-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libglvnd 1.0.0-1
lib32-libpciaccess 0.14-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
